Date,Open,High,Low,Close,Adj Close,Volume
22-sept.-23,105.000000,105.500000,104.080002,104.370003,103.580055,383500
25-sept.-23,104.010002,105.500000,103.760002,104.870003,104.076271,399500
26-sept.-23,103.809998,104.209999,102.230003,102.279999,101.505867,395700
27-sept.-23,102.599998,103.239998,100.720001,101.709999,100.940186,586100
28-sept.-23,101.730003,104.720001,101.610001,104.019997,103.232697,416900
29-sept.-23,105.389999,106.169998,103.870003,104.139999,103.351791,427700
10-févr.-23,104.000000,104.320000,102.370003,102.639999,101.863144,468700
10-mars-23,101.709999,101.809998,98.709999,99.220001,98.469032,566700
10-avr.-23,99.099998,99.750000,96.940002,98.330002,97.585770,658600
10-mai-23,97.870003,98.709999,96.250000,97.160004,96.424629,487800
10-juin-23,96.449997,98.459999,95.419998,97.430000,96.692581,311200
10-sept.-23,96.540001,98.389999,95.660004,98.169998,97.426979,367100
10-oct.-23,98.449997,100.629997,98.440002,99.970001,99.213356,306000
10-nov.-23,100.250000,100.889999,98.370003,98.550003,97.804108,571200
10-déc.-23,98.470001,98.470001,95.370003,96.370003,95.640602,550300
13-oct.-23,96.379997,97.500000,96.190002,97.129997,96.394844,419200
16-oct.-23,98.250000,99.290001,96.970001,97.669998,96.930763,423300
17-oct.-23,97.120003,100.199997,97.110001,99.419998,98.667519,496900
18-oct.-23,98.160004,99.089996,96.220001,96.330002,95.600906,536900
19-oct.-23,96.000000,96.849998,94.400002,94.870003,94.151962,510500
20-oct.-23,94.750000,94.750000,92.250000,93.160004,92.454903,929600
23-oct.-23,93.000000,93.440002,91.580002,91.980003,91.283836,1105000
24-oct.-23,89.000000,92.730003,88.199997,89.510002,88.832527,1556200
25-oct.-23,88.269997,89.269997,84.800003,86.849998,86.192657,1353900
26-oct.-23,87.339996,87.470001,84.690002,85.290001,84.644463,1023900
27-oct.-23,87.110001,87.550003,84.959999,85.269997,84.624611,976500
30-oct.-23,86.349998,87.050003,84.150002,84.500000,83.860443,556900
31-oct.-23,84.860001,87.489998,84.860001,86.419998,85.765907,1198800
11-janv.-23,85.730003,86.779999,84.400002,86.639999,85.984245,514500
11-févr.-23,87.970001,88.970001,87.139999,88.699997,88.028648,591400
11-mars-23,90.449997,93.000000,90.449997,92.650002,91.948761,681200
11-juin-23,92.400002,93.029999,90.779999,91.040001,90.350945,675900
11-juil.-23,90.559998,91.510002,89.269997,90.059998,89.378357,643600
11-août-23,90.279999,91.059998,89.349998,89.480003,88.802757,564300
11-sept.-23,90.000000,90.070000,86.360001,86.849998,86.192657,587200
11-oct.-23,87.519997,88.889999,86.650002,87.809998,87.145386,475500
13-nov.-23,87.809998,88.050003,86.519997,86.550003,85.894928,390100
14-nov.-23,89.519997,92.839996,89.519997,91.599998,90.906708,605800
15-nov.-23,91.989998,95.279999,91.989998,94.360001,93.645813,581200
16-nov.-23,93.500000,94.040001,90.250000,90.660004,89.973824,553000
17-nov.-23,91.849998,92.510002,91.070000,92.180000,91.482315,411300
20-nov.-23,92.190002,92.330002,90.680000,91.550003,90.857086,371300
21-nov.-23,91.290001,91.669998,89.360001,89.580002,88.901993,592200
22-nov.-23,90.250000,91.019997,89.430000,89.910004,89.229500,338900
24-nov.-23,89.849998,91.029999,89.550003,90.570000,89.884499,184500
27-nov.-23,89.080002,89.949997,86.610001,87.169998,86.510231,888000
28-nov.-23,86.860001,88.099998,86.099998,86.919998,86.262123,528300
29-nov.-23,88.029999,89.050003,85.790001,85.879997,85.229996,684700
30-nov.-23,85.430000,85.570000,82.000000,82.470001,82.470001,1437000
12-janv.-23,82.449997,87.690002,82.239998,87.410004,87.410004,874000
12-avr.-23,87.070000,88.330002,86.379997,86.550003,86.550003,618700
